KEY,Description,en,es,fr,ru,vi,zh-CN
chat.toast.attachmentsUploadFailed,,Some attachments failed to upload. Please try again.,Algunos archivos adjuntos no se pudieron subir. Inténtalo de nuevo.,Certains fichiers joints n'ont pas pu être téléversés. Veuillez réessayer.,Не удалось загрузить некоторые вложения. Попробуйте ещё раз.,Một số tệp đính kèm không tải lên được. Vui lòng thử lại.,部分附件上传失败。请重试。
chat.toast.menuOpenedFirstTime,,"Tip: you can right click / hold (for mobile) on a ""Thread"" item to open a context menu.","Consejo: puedes hacer clic derecho / mantener pulsado (para móvil) en un elemento ""Hilo"" para abrir un menú contextual.","Astuce : vous pouvez faire un clic droit / maintenir appuyé (pour mobile) sur un élément ""Fil de discussion"" pour ouvrir un menu contextuel.","Подсказка: вы можете щелкнуть правой кнопкой мыши или удерживать (на мобильных устройствах) элемент ""Тема"", чтобы открыть контекстное меню.","Mẹo: bạn có thể nhấp chuột phải / nhấn giữ (đối với thiết bị di động) vào một mục ""Thread"" để mở menu ngữ cảnh.",提示：您可以右键单击（或在移动设备上长按）“线程”项目以打开上下文菜单。
chat.toast.threadBranched,,The thread has been branched off.,La conversación ha sido ramificada.,La conversation a été ramifiée.,Тема была выделена в отдельную ветку.,Chủ đề đã được tạo nhánh.,话题已被分支。
chat.toast.threadRemovedExternal,,The chat has been removed by the owner.,El chat ha sido eliminado por el propietario.,Le chat a été supprimé par le propriétaire.,Чат был удалён владельцем.,Cuộc trò chuyện đã bị xóa bởi chủ sở hữu.,此聊天已被所有者移除。
chat.toast.threadNameRemovedExternal,,"Thread ""{name}"" has been removed by the owner.","El hilo ""{name}"" ha sido eliminado por el propietario.","La discussion ""{name}"" a été supprimée par le propriétaire.","Тема ""{name}"" была удалена владельцем.","Cuộc trò chuyện ""{name}"" đã bị xóa bởi chủ sở hữu.",主题“{name}”已被所有者移除。
chat.toast.threadShareLinkCopied,,The thread access link has been copied to your clipboard.,El enlace de acceso a la conversación ha sido copiado a tu portapapeles.,Le lien d'accès à la conversation a été copié dans votre presse-papiers.,Ссылка для доступа к ветке скопирована в ваш буфер обмена.,Đường dẫn truy cập cuộc trò chuyện đã được sao chép vào bảng tạm của bạn.,线程访问链接已复制到您的剪贴板。
chat.typeYourMessageHere,,Type your message here...,Escribe tu mensaje aquí...,Tapez votre message ici...,Введите ваше сообщение здесь...,Nhập tin nhắn của bạn tại đây...,在这里输入你的消息...
components.convexIntegrationTest.addTask.label,,Add task entry (press enter),Añadir tarea (pulsar enter),Ajouter une tâche (appuyer sur Entrée),Добавить задачу (нажмите Enter),Thêm mục công việc (nhấn enter),添加任务条目（按回车键）
components.convexIntegrationTest.addTask.placeholder,,Enter new task...,Introducir nueva tarea...,Entrez une nouvelle tâche...,Введите новую задачу...,Nhập công việc mới...,输入新任务...
components.convexIntegrationTest.authenticated,,Convex Authenticated,Convex autenticado,Authentifié par Convex,Аутентифицировано через Convex,Đã xác thực Convex,Convex 已认证
components.convexIntegrationTest.configuredUrl,,Convex URL,URL de Convex,URL Convex,URL Convex,URL Convex,Convex URL
components.convexIntegrationTest.tasksList.empty,,No tasks yet.,Aún no hay tareas.,Aucune tâche pour le moment.,Задач пока нет.,Chưa có công việc nào.,暂无任务。
components.convexIntegrationTest.tasksList.title,,Tasks,Tareas,Tâches,Задачи,Công việc,任务列表
components.convexIntegrationTest.testBackendButton.authInfo,,Test Convex integration with `backend` (auth info),Probar la integración de Convex con `backend` (información de autenticación),Tester l'intégration Convex avec `backend` (informations d'authentification),Тестирование интеграции Convex с `backend` (информация об авторизации),Kiểm tra tích hợp Convex với `backend` (thông tin xác thực),使用 `backend` 测试 Convex 集成（认证信息）
components.convexIntegrationTest.testBackendButton.fetchTasks,,Test Convex integration with `backend` (fetch tasks),Probar integración de Convex con `backend` (obtener tareas),Tester l'intégration de Convex avec `backend` (récupérer les tâches),Тестировать интеграцию Convex с `backend` (получить задачи),Kiểm tra tích hợp Convex với `backend` (lấy công việc),测试Convex与`backend`的集成（获取任务）
components.loadingScreen.loadingText,,Loading...,Cargando...,Chargement en cours...,Загрузка...,Đang tải...,加载中...
confirm,,Confirm,Confirmar,Confirmer,Подтвердить,Xác nhận,确认
continue,,Continue,Continuar,Continuer,Продолжить,Tiếp tục,继续
form.tagsInput.placeholder,,Type and press enter to add...,Escribe y presiona enter para añadir...,Tapez et appuyez sur entrée pour ajouter...,"Введите текст и нажмите Enter, чтобы добавить...",Nhập và nhấn enter để thêm...,输入后按回车键添加...
generating,,Generating,Generando,Génération en cours,Генерация,Đang tạo,正在生成
getInputThoughtsPlaceholders.0,,What's on your mind? 🤔,¿Qué tienes en mente? 🤔,Qu'avez-vous à l'esprit ? 🤔,О чём вы думаете? 🤔,Bạn đang nghĩ gì? 🤔,你在想什么？🤔
getInputThoughtsPlaceholders.1,,Let me help you create a plan. 📃,Déjame ayudarte a crear un plan. 📃,Laissez-moi vous aider à créer un plan. 📃,Давайте я помогу вам составить план. 📃,Hãy để tôi giúp bạn tạo một kế hoạch. 📃,让我帮你制定一个计划吧。📃
getInputThoughtsPlaceholders.2,,What's our goal? 🎯,¿Cuál es nuestro objetivo? 🎯,Quel est notre objectif ? 🎯,Какова наша цель? 🎯,Mục tiêu của chúng ta là gì? 🎯,我们的目标是什么？🎯
getInputThoughtsPlaceholders.3,,How does AI work? 🤖,¿Cómo funciona la IA? 🤖,Comment fonctionne l'IA ? 🤖,Как работает ИИ? 🤖,AI hoạt động như thế nào? 🤖,人工智能是如何工作的？🤖
getInputThoughtsPlaceholders.4,,What's today's objective? 📅,¿Cuál es el objetivo de hoy? 📅,Quel est l'objectif du jour ? 📅,Какая цель на сегодня? 📅,Mục tiêu hôm nay là gì? 📅,今天的目标是什么？📅
getInputThoughtsPlaceholders.5,,Have a mission for today? 🚀,¿Tienes una misión para hoy? 🚀,Avez-vous une mission pour aujourd'hui ? 🚀,Есть задача на сегодня? 🚀,Bạn có nhiệm vụ gì cho hôm nay không? 🚀,今天有什么任务吗？🚀
getInputThoughtsPlaceholders.6,,Where are we heading today? 🧑‍🚀,¿Hacia dónde nos dirigimos hoy? 🧑‍🚀,Où allons-nous aujourd'hui ? 🧑‍🚀,Куда мы сегодня направляемся? 🧑‍🚀,Hôm nay chúng ta sẽ đi đâu? 🧑‍🚀,我们今天要去哪里？🧑‍🚀
getInputThoughtsPlaceholders.7,,Evaluating a strategy? 📊,¿Evaluando una estrategia? 📊,Vous évaluez une stratégie ? 📊,Оцениваете стратегию? 📊,Đang đánh giá một chiến lược? 📊,在评估一个策略吗？📊
getInputThoughtsPlaceholders.8,,Let's talk about your vision. 🌟,Hablemos de tu visión. 🌟,Parlons de votre vision. 🌟,Давайте поговорим о вашем видении. 🌟,Hãy nói về tầm nhìn của bạn. 🌟,来谈谈你的愿景吧。🌟
guest,,Guest,Invitado,Invité,Гость,Khách,访客
keyboard-shortcuts,,Keyboard Shortcuts,Atajos de teclado,Raccourcis clavier,Горячие клавиши,Phím tắt,键盘快捷键
language,,Language,Idioma,Langue,Язык,Ngôn ngữ,语言
loginToEnjoyMore,,Login to enjoy more!,¡Inicia sesión para disfrutar más!,Connectez-vous pour en profiter davantage !,"Войдите, чтобы получить больше возможностей!",Đăng nhập để trải nghiệm nhiều hơn!,登录以享受更多功能！
nuxtSiteConfig.description,,"Monorepo with 🤖 AI initialize and localize | 🔥Hono + OpenAPI & RPC, Nuxt, Convex, SST Ion, WorkOS AuthKit, Tanstack Query, Shadcn, UnoCSS, Spreadsheet I18n, Lingo.dev","Monorepo con 🤖 inicialización y localización por IA | 🔥Hono + OpenAPI & RPC, Nuxt, Convex, SST Ion, WorkOS AuthKit, Tanstack Query, Shadcn, UnoCSS, Spreadsheet I18n, Lingo.dev","Monorepo avec 🤖 initialisation et localisation par IA | 🔥Hono + OpenAPI & RPC, Nuxt, Convex, SST Ion, WorkOS AuthKit, Tanstack Query, Shadcn, UnoCSS, Spreadsheet I18n, Lingo.dev","Монорепозиторий с 🤖 ИИ-инициализацией и локализацией | 🔥Hono + OpenAPI & RPC, Nuxt, Convex, SST Ion, WorkOS AuthKit, Tanstack Query, Shadcn, UnoCSS, Spreadsheet I18n, Lingo.dev","Monorepo với 🤖 khởi tạo và bản địa hóa bằng AI | 🔥Hono + OpenAPI & RPC, Nuxt, Convex, SST Ion, WorkOS AuthKit, Tanstack Query, Shadcn, UnoCSS, Spreadsheet I18n, Lingo.dev","使用 🤖 AI 初始化和本地化的 Monorepo | 🔥Hono + OpenAPI & RPC、Nuxt、Convex、SST Ion、WorkOS AuthKit、Tanstack Query、Shadcn、UnoCSS、Spreadsheet I18n、Lingo.dev"
nuxtSiteConfig.name,,starter-monorepo,starter-monorepo,starter-monorepo,starter-monorepo,starter-monorepo,starter-monorepo
pages.chat.aiLabel,,AI,IA,IA,ИИ,AI,AI
pages.chat.loginPrompt,,Please login to try this feature,Por favor inicia sesión para probar esta función,Veuillez vous connecter pour essayer cette fonctionnalité,"Пожалуйста, войдите в систему, чтобы попробовать эту функцию",Vui lòng đăng nhập để thử tính năng này,请登录以尝试此功能
pages.chat.title,,Chat,Chat,Chat,Trò chuyện,Trò chuyện,聊天
pages.chat.userLabel,,You,Tú,Vous,Вы,Bạn,您
pages.home.apiResponse.empty,,Empty,Vacío,Vide,Пусто,Trống,空的
pages.home.apiResponse.label,,API Response from,Respuesta de API de,Réponse API de,Ответ API от,Phản hồi API từ,API响应来自
pages.home.auth.signInButton,,Sign-in,Iniciar sesión,Connexion,Войти,Đăng nhập,登录
pages.home.auth.signOutButton,,Sign-out,Cerrar sesión,Déconnexion,Выйти,Đăng xuất,登出
pages.home.auth.status.label,,Auth status,Estado de autenticación,Statut d'authentification,Статус аутентификации,Trạng thái xác thực,认证状态
pages.home.auth.status.loading,,Auth status: ...,Estado de autenticación: ...,Statut d'authentification: ...,Статус аутентификации: ...,Trạng thái xác thực: ...,认证状态：...
pages.home.auth.status.loggedIn,,Logged in,Sesión iniciada,Connecté,Вошли в систему,Đã đăng nhập,已登录
pages.home.auth.status.notLoggedIn,,Not logged in,Sesión no iniciada,Non connecté,Не вошли в систему,Chưa đăng nhập,未登录
pages.home.auth.userInfo.title,,User Information,Información del Usuario,Informations Utilisateur,Информация о пользователе,Thông tin người dùng,用户信息
pages.home.carousel.cardContent,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit. Inventore sed consequuntur error repudiandae numquam deserunt quisquam repellat libero asperiores earum nam nobis, culpa ratione quam perferendis esse, cupiditate neque quas!","Lorem ipsum dolor sit amet, consectetur adipisicing elit. Inventore sed consequuntur error repudiandae numquam deserunt quisquam repellat libero asperiores earum nam nobis, culpa ratione quam perferendis esse, cupiditate neque quas!","Lorem ipsum dolor sit amet, consectetur adipisicing elit. Inventore sed consequuntur error repudiandae numquam deserunt quisquam repellat libero asperiores earum nam nobis, culpa ratione quam perferendis esse, cupiditate neque quas!","Lorem ipsum dolor sit amet, consectetur adipisicing elit. Inventore sed consequuntur error repudiandae numquam deserunt quisquam repellat libero asperiores earum nam nobis, culpa ratione quam perferendis esse, cupiditate neque quas!","Lorem ipsum dolor sit amet, consectetur adipisicing elit. Những phát minh nhưng hậu quả của lỗi từ chối số lượng không xứng đáng với bất kỳ ai đẩy lùi tự do khắc nghiệt tên cao quý của chúng tôi, lỗi tỷ lệ mà hoàn hảo là, ham muốn cũng không!",Lorem ipsum dolor sit amet，consectetur adipisicing elit。Inventore sed consequuntur error repudiandae numquam deserunt quisquam repellat libero asperiores earum nam nobis，culpa ratione quam perferendis esse，cupiditate neque quas！
pages.home.carousel.cardTitle,,Simple Card #{index},Tarjeta Simple #{index},Carte Simple #{index},Простая карточка #{index},Thẻ Đơn giản #{index},简单卡片 #{index}
pages.home.dateDisplay.label,,Today is,Hoy es,Aujourd'hui c'est,Сегодня,Hôm nay là,今天是
pages.home.runtimeConfig.backendUrl,,Backend URL,URL del Backend,URL Backend,URL Бэкенда,URL Backend,后端URL
pages.home.runtimeConfig.frontendUrl,,Frontend URL,URL del Frontend,URL Frontend,URL Фронтенда,URL Frontend,前端URL
pages.home.section.apiInfo.title,,API & Configuration,API y Configuración,API et Configuration,API и Конфигурация,API & Cấu hình,API与配置
pages.home.section.auth.title,,Authentication,Autenticación,Authentification,Аутентификация,Xác thực,认证
pages.home.section.carousel.title,,Image Carousel,Carrusel de Imágenes,Carrousel d'Images,Карусель изображений,Băng chuyền hình ảnh,图片轮播
pages.home.section.controls.title,,Page Controls,Controles de Página,Contrôles de Page,Элементы управления страницей,Điều khiển Trang,页面控件
pages.home.section.gridMaker.title,,Shared `@common/vue` sample,Muestra compartida de `@common/vue`,Exemple partagé de `@common/vue`,Пример общего `@common/vue`,Mẫu `@common/vue` chia sẻ,共享 `@common/vue` 示例
pages.home.section.sst.title,,SST Information,Información SST,Informations SST,Информация SST,Thông tin SST,SST 信息
pages.home.section.tanstackQuery.description,,Fetched client-side and persisted to IndexedDB for 12 hours,Obtenido del lado del cliente y persistido en IndexedDB durante 12 horas,Récupéré côté client et persisté dans IndexedDB pendant 12 heures,Получено на стороне клиента и сохранено в IndexedDB на 12 часов,Lấy từ phía máy khách và lưu trữ vào IndexedDB trong 12 giờ,客户端获取并持久化到IndexedDB 12小时
pages.home.section.tanstackQuery.title,,Tanstack Query,Tanstack Query,Tanstack Query,Tanstack Query,Tanstack Query,Tanstack Query
pages.home.tanstackQuery.loading,,Loading...,Cargando...,Chargement...,Загрузка...,Đang tải...,加载中...
pages.home.tanstackQuery.staleButton,,Make stale (refetch),Marcar como obsoleto (recargar),Rendre obsolète (recharger),Сделать устаревшим (обновить),Đánh dấu là cũ (tải lại),标记为过时 (重新获取)
pages.home.themeSwitcher.label,,Theme,Tema,Thème,Тема,Chủ đề,主题
pages.home.title,,Home,Inicio,Accueil,Главная,Trang chủ,首页
pages.test.section.convex.status.notFound,,Convex integration: not found,Integración de Convex: no encontrada,Intégration Convex : non trouvée,Интеграция Convex: не найдена,Tích hợp Convex: không tìm thấy,Convex 集成：未找到
pages.test.section.convex.title,,Convex Integration Test,Prueba de Integración de Convex,Test d'Intégration Convex,Тест интеграции Convex,Kiểm tra Tích hợp Convex,Convex 集成测试
pages.test.description,,A page for testing various components and integrations.,Una página para probar varios componentes e integraciones.,Une page pour tester divers composants et intégrations.,Страница для тестирования различных компонентов и интеграций.,Một trang để thử nghiệm các thành phần và tích hợp khác nhau.,用于测试各种组件和集成的页面。
pages.test.intro,,This is just a simple page to test stuff.,Esta es solo una página simple para probar cosas.,Ceci est juste une page simple pour tester des choses.,Это просто простая страница для тестирования.,Đây chỉ là một trang đơn giản để thử nghiệm mọi thứ.,这只是一个用于测试的简单页面。
pages.test.title,,Test,Prueba,Test,Тест,Kiểm tra,测试
pinned,,Pinned,Fijados,Épinglé,Закреплено,Đã ghim,已固定
recent,,Recent,Recientes,Récent,Недавние,Gần đây,最近
settings,,Settings,Configuración,Paramètres,Настройки,Cài đặt,设置
tip.holdShift,,"Hold ""Shift"" to skip confirmation","Mantén presionado ""Shift"" para omitir la confirmación","Maintenez ""Maj"" pour ignorer la confirmation","Удерживайте ""Shift"", чтобы пропустить подтверждение","Giữ phím ""Shift"" để bỏ qua xác nhận","按住 ""Shift"" 跳过确认"
welcome,,Welcome,Bienvenido,Bienvenue,Добро пожаловать,Chào mừng,欢迎
nickname,,Nickname,Apodo,Pseudo,Никнейм,Biệt danh,昵称
